
2024/07/16 (18:38:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:38:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:39:41) | ===> btop++ v.1.3.2
2024/07/16 (18:39:41) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:39:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:39:41) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:39:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:39:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:39:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:39:41) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:39:43) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/07/16 (18:39:46) | ===> btop++ v.1.3.2
2024/07/16 (18:39:46) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:39:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:39:46) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:39:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:39:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:39:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:39:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:41:00) | ===> btop++ v.1.3.2
2024/07/16 (18:41:00) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:41:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:41:00) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:41:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:41:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:41:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:41:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:44:32) | ===> btop++ v.1.3.2
2024/07/16 (18:44:32) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:44:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:44:32) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:44:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:44:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:44:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:44:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:44:54) | ===> btop++ v.1.3.2
2024/07/16 (18:44:54) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:44:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:44:54) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:44:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:44:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:44:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:44:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:45:03) | ===> btop++ v.1.3.2
2024/07/16 (18:45:03) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:45:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:45:03) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:45:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:45:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
